Municipality,To,Commuters
Halden,Halden,0
Halden,Moss,74
Halden,Sarpsborg,872
Halden,Fredrikstad,780
Halden,Hvaler,30
Halden,Aremark,254
Halden,Marker,26
Halden,Skiptvet,22
Halden,Rakkestad,157
Halden,Råde,56
Halden,Vestby,24
Halden,Ski,51
Halden,Ås,18
Halden,Frogn,11
Halden,Nesodden,5
Halden,Bærum,13
Halden,Asker,7
Halden,Aurskog-Høland,8
Halden,Rælingen,1
Halden,Enebakk,2
Halden,Lørenskog,5
Halden,Nittedal,2
Halden,Gjerdrum,1
Halden,Ullensaker,2
Halden,Eidsvoll,3
Halden,Nannestad,2
Halden,Hurdal,0
Halden,Oslo,155
Halden,Kongsvinger,2
Halden,Hamar,3
Halden,Ringsaker,0
Halden,Løten,1
Halden,Stange,0
Halden,Nord-odal,0
Halden,Sør-odal,0
Halden,Eidskog,1
Halden,Grue,1
Halden,Åsnes,1
Halden,Elverum,6
Halden,Trysil,0
Halden,Åmot,4
Halden,Stor-Elvdal,2
Halden,Rendalen,0
Halden,Engerdal,1
Halden,Tolga,1
Halden,Tynset,1
Halden,Alvdal,0
Halden,Folldal,0
Halden,Lillehammer,2
Halden,Gjøvik,0
Halden,Dovre,0
Halden,Lesja,1
Halden,Skjåk,0
Halden,Lom,0
Halden,Vågå,0
Halden,Nord-Fron,0
Halden,Sel,1
Halden,Sør-Fron,0
Halden,Ringebu,0
Halden,Øyer,0
Halden,Gausdal,0
Halden,Østre_Toten,0
Halden,Vestre_Toten,1
Halden,Jevnaker,1
Halden,Lunner,2
Halden,Gran,1
Halden,Søndre_Land,3
Halden,Nordre_Land,0
Halden,Sør-Aurdal,0
Halden,Etnedal,1
Halden,Nord-Aurdal,0
Halden,Vestre_Slidre,0
Halden,Øystre_Slidre,0
Halden,Vang,8
Halden,Drammen,7
Halden,Kongsberg,1
Halden,Ringerike,1
Halden,Hole,1
Halden,Flå,0
Halden,Gol,0
Halden,Hemsedal,1
Halden,Ål,21
Halden,Hol,3
Halden,Sigdal,0
Halden,Krødsherad,0
Halden,Modum,1
Halden,Øvre_Eiker,0
Halden,Lier,0
Halden,Flesberg,1
Halden,Rollag,0
Halden,Nore_og_Uvdal,0
Halden,Horten,3
Halden,Tønsberg,3
Halden,Sandefjord,2
Halden,Larvik,5
Halden,Holmestrand,2
Halden,Re,1050
Halden,Færder,5
Halden,Porsgrunn,3
Halden,Skien,2
Halden,Notodden,0
Halden,Siljan,0
Halden,Bamble,0
Halden,Kragerø,1
Halden,Drangedal,0
Halden,Nome,0
Halden,Tinn,0
Halden,Hjartdal,2
Halden,Seljord,0
Halden,Kviteseid,0
Halden,Nissedal,0
Halden,Fyresdal,0
Halden,Tokke,0
Halden,Vinje,1
Halden,Risør,1
Halden,Grimstad,1
Halden,Arendal,3
Halden,Gjerstad,0
Halden,Vegårshei,1
Halden,Tvedestrand,1
Halden,Froland,0
Halden,Lillesand,0
Halden,Birkenes,0
Halden,Åmli,0
Halden,Iveland,0
Halden,Evje_og_Hornnes,1
Halden,Bygland,0
Halden,Valle,0
Halden,Bykle,0
Halden,Kristiansand,7
Halden,Farsund,1
Halden,Flekkefjord,0
Halden,Vennesla,1
Halden,Åseral,0
Halden,Lindesnes,1
Halden,Lyngdal,0
Halden,Hægebostad,0
Halden,Kvinesdal,0
Halden,Sirdal,0
Halden,Eigersund,0
Halden,Sandnes,2
Halden,Stavanger,7
Halden,Haugesund,2
Halden,Sokndal,0
Halden,Lund,0
Halden,Bjerkreim,0
Halden,Hå,0
Halden,Klepp,0
