Number,Name,County,Population,Area
301,Oslo,Oslo,673469,454.03
1101,Eigersund,Rogaland,14898,431.66
1103,Stavanger,Rogaland,141186,262.52
1106,Haugesund,Rogaland,37167,72.72
1108,Sandnes,Rogaland,76328,304.46
1111,Sokndal,Rogaland,3331,294.79
1112,Lund,Rogaland,3237,408.51
1114,Bjerkreim,Rogaland,2826,650.58
1119,Hå,Rogaland,18762,258.22
1120,Klepp,Rogaland,19042,113.49
1121,Time,Rogaland,18656,183.19
1122,Gjesdal,Rogaland,11902,617.98
1124,Sola,Rogaland,26016,69.04
1127,Randaberg,Rogaland,10873,24.71
1130,Strand,Rogaland,12662,261.69
1133,Hjelmeland,Rogaland,2708,1067.78
1134,Suldal,Rogaland,3853,1736.89
1135,Sauda,Rogaland,4760,546.32
1144,Kvitsøy,Rogaland,534,6.29
1145,Bokn,Rogaland,855,47.16
1146,Tysvær,Rogaland,11041,425.41
1149,Karmøy,Rogaland,42229,229.95
1151,Utsira,Rogaland,201,6.33
1160,Vindafjord,Rogaland,8828,620.59
1505,Kristiansund,Møre og Romsdal,24442,87.44
1506,Molde,Møre og Romsdal,26822,362.69
1507,Ålesund,Møre og Romsdal,66258,632.42
1511,Vanylven,Møre og Romsdal,3203,385.21
1514,Sande,Møre og Romsdal,2540,93.21
1515,Herøy,Møre og Romsdal,8957,119.53
1516,Ulstein,Møre og Romsdal,8457,97.19
1517,Hareid,Møre og Romsdal,5185,82.26
1520,Ørsta,Møre og Romsdal,10744,804.43
1525,Stranda,Møre og Romsdal,4623,865.86
1528,Sykkylven,Møre og Romsdal,7695,337.8
1531,Sula,Møre og Romsdal,9007,58.5
1532,Giske,Møre og Romsdal,8176,40.53
1535,Vestnes,Møre og Romsdal,6577,352.02
1539,Rauma,Møre og Romsdal,7503,1502.15
1547,Aukra,Møre og Romsdal,3547,59.08
1554,Averøy,Møre og Romsdal,5856,175.68
1557,Gjemnes,Møre og Romsdal,2611,381.63
1560,Tingvoll,Møre og Romsdal,3109,336.76
1563,Sunndal,Møre og Romsdal,7126,1713.44
1566,Surnadal,Møre og Romsdal,5986,1366.05
1573,Smøla,Møre og Romsdal,2160,271.91
1576,Aure,Møre og Romsdal,3590,641.38
1577,Volda,Møre og Romsdal,9102,547.24
1578,Fjord,Møre og Romsdal,2642,94.6
1579,Hustadvika,Møre og Romsdal,13215,521.83
1804,Bodø,Nordland,51022,1395.28
1806,Narvik,Nordland,18756,3432.17
1811,Bindal,Nordland,1473,1264.25
1812,Sømna,Nordland,2047,195.26
1813,Brønnøy,Nordland,7956,1046.44
1815,Vega,Nordland,1234,164.79
1816,Vevelstad,Nordland,528,538.9
1818,Herøy,Nordland,1788,64.4
1820,Alstahaug,Nordland,7428,187.61
1822,Leirfjord,Nordland,2278,465.22
1824,Vefsn,Nordland,13465,1929.1
1825,Grane,Nordland,1469,2004.15
1826,Hattfjelldal,Nordland,1414,2684.31
1827,Dønna,Nordland,1410,191.94
1828,Nesna,Nordland,1837,183.18
1832,Hemnes,Nordland,4524,1589.42
1833,Rana,Nordland,26101,4459.98
1834,Lurøy,Nordland,1920,265.19
1835,Træna,Nordland,465,16.52
1836,Rødøy,Nordland,1267,711.29
1837,Meløy,Nordland,6435,873.83
1838,Gildeskål,Nordland,2024,664.68
1839,Beiarn,Nordland,1043,1222.32
1840,Saltdal,Nordland,4702,2216.17
1841,Fauske,Nordland,9729,1201.37
1845,Sørfold,Nordland,1958,1637.35
1848,Steigen,Nordland,2543,1009.08
1851,Lødingen,Nordland,2134,527.49
1853,Evenes,Nordland,1402,252.78
1856,Røst,Nordland,535,10.13
1857,Værøy,Nordland,744,18.64
1859,Flakstad,Nordland,1349,178.38
1860,Vestvågøy,Nordland,11294,424.55
1865,Vågan,Nordland,9444,479.15
1866,Hadsel,Nordland,8009,566.56
1867,Bø,Nordland,2624,246.69
1868,Øksnes,Nordland,4580,319.51
1870,Sortland,Nordland,10378,721.92
1871,Andøy,Nordland,4908,656.12
1874,Moskenes,Nordland,1073,118.79
1875,HamarøyHábmer,Nordland,1810,2020.45
3001,Halden,Viken,30790,642.3
3002,Moss,Viken,32407,63.57
3003,Sarpsborg,Viken,55127,405.61
3004,Fredrikstad,Viken,80121,292.55
3005,Drammen,Viken,68363,317.68
3006,Kongsberg,Viken,27216,793.09
3007,Ringerike,Viken,30034,1555.08
3011,Hvaler,Viken,4517,90.12
3012,Aremark,Viken,1398,319.27
3013,Marker,Viken,3597,412.9
3014,Indre Østfold,Viken,45000,791.93
3015,Skiptvet,Viken,3783,101.21
3016,Rakkestad,Viken,8173,434.71
3017,Råde,Viken,7398,118.77
3018,Våler,Viken,5335,256.96
3019,Vestby,Viken,17188,133.97
3020,Nordre Follo,Viken,16732,133.97
3021,Ås,Viken,19288,102.68
3022,Frogn,Viken,15743,85.7
3023,Nesodden,Viken,18869,61.46
3024,Bærum,Viken,124008,192.26
3025,Asker,Viken,60781,100.71
3026,Aurskog-Høland,Viken,16162,961.66
3027,Rælingen,Viken,17730,71.68
3028,Enebakk,Viken,10927,232.58
3029,Lørenskog,Viken,37406,70.55
3030,Lillestrøm,Viken,85757,456.61
3031,Nittedal,Viken,23213,186.22
3032,Gjerdrum,Viken,6576,83.19
3033,Ullensaker,Viken,35102,252.47
3034,Nes,Viken,21241,637.35
3035,Eidsvoll,Viken,24415,456.49
3036,Nannestad,Viken,12657,340.99
3037,Hurdal,Viken,2910,284.96
3038,Hole,Viken,6772,192.69
3039,Flå,Viken,1081,704.41
3040,Nesbyen,Viken,3357,809.67
3041,Gol,Viken,4612,532.49
3042,Hemsedal,Viken,2442,753.54
3043,Ål,Viken,4719,1174.92
3044,Hol,Viken,4535,1854.62
3045,Sigdal,Viken,3502,842.28
3046,Krødsherad,Viken,2257,374.51
3047,Modum,Viken,13786,517.18
3048,Øvre Eiker,Viken,18562,456.69
3049,Lier,Viken,25749,301.67
3050,Flesberg,Viken,2696,561.91
3051,Rollag,Viken,1399,449.29
3052,Nore og Uvdal,Viken,2530,2502.29
3053,Jevnaker,Viken,6696,225.72
3054,Lunner,Viken,9080,291.84
3401,Kongsvinger,Innlandet,17857,1036.45
3403,Hamar,Innlandet,30598,350.94
3405,Lillehammer,Innlandet,27781,478.17
3407,Gjøvik,Innlandet,30319,672.25
3411,Ringsaker,Innlandet,33842,1280.09
3412,Løten,Innlandet,7633,369.44
3413,Stange,Innlandet,20317,724.28
3414,Nord-Odal,Innlandet,5100,508.14
3415,Sør-Odal,Innlandet,7866,516.74
3416,Eidskog,Innlandet,6127,640.39
3417,Grue,Innlandet,4777,837.17
3418,Åsnes,Innlandet,7329,1040.94
3419,Våler,Innlandet,3743,705.28
3420,Elverum,Innlandet,21086,1229.29
3421,Trysil,Innlandet,6550,3014.37
3422,Åmot,Innlandet,4518,1339.92
3423,Stor-Elvdal,Innlandet,2530,2165.78
3424,Rendalen,Innlandet,1858,3179.52
3425,Engerdal,Innlandet,1274,2196.54
3426,Tolga,Innlandet,1620,1122.59
3427,Tynset,Innlandet,5584,1880.51
3428,Alvdal,Innlandet,2441,942.15
3429,Folldal,Innlandet,1577,1276.88
3430,Os,Innlandet,1963,1040.4
3431,Dovre,Innlandet,2675,1364.39
3432,Lesja,Innlandet,2048,2259.5
3433,Skjåk,Innlandet,2202,2075.52
3434,Lom,Innlandet,2360,1968.55
3435,Vågå,Innlandet,3640,1330.0
3436,Nord-Fron,Innlandet,5723,1141.48
3437,Sel,Innlandet,5916,904.93
3438,Sør-Fron,Innlandet,3163,742.18
3439,Ringebu,Innlandet,4502,1247.53
3440,Øyer,Innlandet,5082,639.9
3441,Gausdal,Innlandet,6204,1191.16
3442,Østre Toten,Innlandet,14887,562.57
3443,Vestre Toten,Innlandet,13179,249.52
3446,Gran,Innlandet,13707,756.65
3447,Søndre Land,Innlandet,5717,728.36
3448,Nordre Land,Innlandet,6773,955.31
3449,Sør-Aurdal,Innlandet,3026,1109.04
3450,Etnedal,Innlandet,1351,459.15
3451,Nord-Aurdal,Innlandet,6490,906.52
3452,Vestre Slidre,Innlandet,2114,463.25
3453,Øystre Slidre,Innlandet,3248,963.11
3454,Vang,Innlandet,1596,1505.45
3801,Horten,Vestfold og Telemark,27202,70.96
3802,Holmestrand,Vestfold og Telemark,14037,432.36
3803,Tønsberg,Vestfold og Telemark,44922,110.03
3804,Sandefjord,Vestfold og Telemark,62019,422.26
3805,Larvik,Vestfold og Telemark,46557,812.88
3806,Porsgrunn,Vestfold og Telemark,36198,164.45
3807,Skien,Vestfold og Telemark,54316,779.2
3808,Notodden,Vestfold og Telemark,12757,983.89
3811,Færder,Vestfold og Telemark,26676,99.96
3812,Siljan,Vestfold og Telemark,2357,213.96
3813,Bamble,Vestfold og Telemark,14138,304.37
3814,Kragerø,Vestfold og Telemark,10586,305.46
3815,Drangedal,Vestfold og Telemark,4148,1062.78
3816,Nome,Vestfold og Telemark,6585,429.69
3817,Midt-Telemark,Vestfold og Telemark,10439,518.51
