,region,sex,age,contents,year,value
0,Halden (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,57.7
1,Halden (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,26.3
2,Halden (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,56.8
3,Halden (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,73.8
4,Halden (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,75.2
5,Halden (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,55.5
6,Halden (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,12.9
7,Moss (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,60.6
8,Moss (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,34.2
9,Moss (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,58.8
10,Moss (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,73.7
11,Moss (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,77.6
12,Moss (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,61.2
13,Moss (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,13.1
14,Sarpsborg (1992-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,60.2
15,Sarpsborg (1992-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,30.6
16,Sarpsborg (1992-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.6
17,Sarpsborg (1992-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,75.9
18,Sarpsborg (1992-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,75.4
19,Sarpsborg (1992-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,57.3
20,Sarpsborg (1992-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,13.2
21,Fredrikstad (1994-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,61.5
22,Fredrikstad (1994-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,31.2
23,Fredrikstad (1994-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.2
24,Fredrikstad (1994-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,75.2
25,Fredrikstad (1994-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,77.6
26,Fredrikstad (1994-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,60.2
27,Fredrikstad (1994-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,15.5
28,Hvaler (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,58.0
29,Hvaler (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.6
30,Hvaler (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,55.3
31,Hvaler (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,77.3
32,Hvaler (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,78.2
33,Hvaler (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,60.5
34,Hvaler (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,20.2
35,Aremark (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,64.0
36,Aremark (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.3
37,Aremark (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,68.3
38,Aremark (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,83.3
39,Aremark (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,77.3
40,Aremark (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,64.3
41,Aremark (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,28.3
42,Marker (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,62.9
43,Marker (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,45.1
44,Marker (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,70.3
45,Marker (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,75.8
46,Marker (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.2
47,Marker (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,60.0
48,Marker (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,25.7
49,Rømskog (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,68.1
50,Rømskog (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,40.9
51,Rømskog (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,61.3
52,Rømskog (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,84.0
53,Rømskog (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,82.3
54,Rømskog (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,71.2
55,Rømskog (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,31.1
56,Trøgstad (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,65.8
57,Trøgstad (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,37.4
58,Trøgstad (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,65.6
59,Trøgstad (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,78.3
60,Trøgstad (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,79.4
