,region,holding sector,number of employees,contents,year,value
0,Halden (-2019),Sum all sectors,All size groups,Establishments,2019,2943
1,Halden (-2019),Sum all sectors,No one employeed,Establishments,2019,1968
2,Halden (-2019),Sum all sectors,1-4 employees,Establishments,2019,493
3,Halden (-2019),Sum all sectors,5-9 employees,Establishments,2019,205
4,Halden (-2019),Sum all sectors,10-19 employees,Establishments,2019,136
5,Halden (-2019),Sum all sectors,20-49 employees,Establishments,2019,102
6,Halden (-2019),Sum all sectors,50-99 employees,Establishments,2019,21
7,Halden (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,12
8,Halden (-2019),Sum all sectors,250 employees and more,Establishments,2019,6
9,Halden (-2019),General government,All size groups,Establishments,2019,140
10,Halden (-2019),General government,No one employeed,Establishments,2019,13
11,Halden (-2019),General government,1-4 employees,Establishments,2019,14
12,Halden (-2019),General government,5-9 employees,Establishments,2019,23
13,Halden (-2019),General government,10-19 employees,Establishments,2019,30
14,Halden (-2019),General government,20-49 employees,Establishments,2019,36
15,Halden (-2019),General government,50-99 employees,Establishments,2019,12
16,Halden (-2019),General government,100 - 249 employees,Establishments,2019,9
17,Halden (-2019),General government,250 employees and more,Establishments,2019,3
18,Halden (-2019),Financial corporations,All size groups,Establishments,2019,12
19,Halden (-2019),Financial corporations,No one employeed,Establishments,2019,5
20,Halden (-2019),Financial corporations,1-4 employees,Establishments,2019,3
21,Halden (-2019),Financial corporations,5-9 employees,Establishments,2019,2
22,Halden (-2019),Financial corporations,10-19 employees,Establishments,2019,0
23,Halden (-2019),Financial corporations,20-49 employees,Establishments,2019,2
24,Halden (-2019),Financial corporations,50-99 employees,Establishments,2019,0
25,Halden (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
26,Halden (-2019),Financial corporations,250 employees and more,Establishments,2019,0
27,Halden (-2019),Non-financial corporations,All size groups,Establishments,2019,1380
28,Halden (-2019),Non-financial corporations,No one employeed,Establishments,2019,663
29,Halden (-2019),Non-financial corporations,1-4 employees,Establishments,2019,380
30,Halden (-2019),Non-financial corporations,5-9 employees,Establishments,2019,160
31,Halden (-2019),Non-financial corporations,10-19 employees,Establishments,2019,101
32,Halden (-2019),Non-financial corporations,20-49 employees,Establishments,2019,61
33,Halden (-2019),Non-financial corporations,50-99 employees,Establishments,2019,9
34,Halden (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,3
35,Halden (-2019),Non-financial corporations,250 employees and more,Establishments,2019,3
36,Halden (-2019),Households and non-profit institutions,All size groups,Establishments,2019,1410
37,Halden (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,1287
38,Halden (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,95
39,Halden (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,20
40,Halden (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,5
41,Halden (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,3
42,Halden (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
43,Halden (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
44,Halden (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
45,Halden (-2019),Unspecified sector/others,All size groups,Establishments,2019,1
46,Halden (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
47,Halden (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,1
48,Halden (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
49,Halden (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
50,Halden (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
51,Halden (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
52,Halden (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
53,Halden (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
54,Moss (-2019),Sum all sectors,All size groups,Establishments,2019,3136
55,Moss (-2019),Sum all sectors,No one employeed,Establishments,2019,1991
56,Moss (-2019),Sum all sectors,1-4 employees,Establishments,2019,587
57,Moss (-2019),Sum all sectors,5-9 employees,Establishments,2019,229
58,Moss (-2019),Sum all sectors,10-19 employees,Establishments,2019,141
59,Moss (-2019),Sum all sectors,20-49 employees,Establishments,2019,121
60,Moss (-2019),Sum all sectors,50-99 employees,Establishments,2019,48
61,Moss (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,16
62,Moss (-2019),Sum all sectors,250 employees and more,Establishments,2019,3
63,Moss (-2019),General government,All size groups,Establishments,2019,125
64,Moss (-2019),General government,No one employeed,Establishments,2019,8
65,Moss (-2019),General government,1-4 employees,Establishments,2019,13
66,Moss (-2019),General government,5-9 employees,Establishments,2019,7
67,Moss (-2019),General government,10-19 employees,Establishments,2019,24
68,Moss (-2019),General government,20-49 employees,Establishments,2019,36
69,Moss (-2019),General government,50-99 employees,Establishments,2019,25
70,Moss (-2019),General government,100 - 249 employees,Establishments,2019,9
71,Moss (-2019),General government,250 employees and more,Establishments,2019,3
72,Moss (-2019),Financial corporations,All size groups,Establishments,2019,24
73,Moss (-2019),Financial corporations,No one employeed,Establishments,2019,11
74,Moss (-2019),Financial corporations,1-4 employees,Establishments,2019,6
75,Moss (-2019),Financial corporations,5-9 employees,Establishments,2019,3
76,Moss (-2019),Financial corporations,10-19 employees,Establishments,2019,2
77,Moss (-2019),Financial corporations,20-49 employees,Establishments,2019,1
78,Moss (-2019),Financial corporations,50-99 employees,Establishments,2019,0
79,Moss (-2019),Financial corporations,100 - 249 employees,Establishments,2019,1
80,Moss (-2019),Financial corporations,250 employees and more,Establishments,2019,0
81,Moss (-2019),Non-financial corporations,All size groups,Establishments,2019,1709
82,Moss (-2019),Non-financial corporations,No one employeed,Establishments,2019,823
83,Moss (-2019),Non-financial corporations,1-4 employees,Establishments,2019,463
84,Moss (-2019),Non-financial corporations,5-9 employees,Establishments,2019,204
85,Moss (-2019),Non-financial corporations,10-19 employees,Establishments,2019,111
86,Moss (-2019),Non-financial corporations,20-49 employees,Establishments,2019,79
87,Moss (-2019),Non-financial corporations,50-99 employees,Establishments,2019,23
88,Moss (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,6
89,Moss (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
90,Moss (-2019),Households and non-profit institutions,All size groups,Establishments,2019,1277
91,Moss (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,1148
92,Moss (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,105
93,Moss (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,15
94,Moss (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,4
95,Moss (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,5
96,Moss (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
97,Moss (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
98,Moss (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
99,Moss (-2019),Unspecified sector/others,All size groups,Establishments,2019,1
100,Moss (-2019),Unspecified sector/others,No one employeed,Establishments,2019,1
101,Moss (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
102,Moss (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
103,Moss (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
104,Moss (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
105,Moss (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
106,Moss (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
107,Moss (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
108,Sarpsborg (1992-2019),Sum all sectors,All size groups,Establishments,2019,4893
109,Sarpsborg (1992-2019),Sum all sectors,No one employeed,Establishments,2019,3090
110,Sarpsborg (1992-2019),Sum all sectors,1-4 employees,Establishments,2019,851
111,Sarpsborg (1992-2019),Sum all sectors,5-9 employees,Establishments,2019,401
112,Sarpsborg (1992-2019),Sum all sectors,10-19 employees,Establishments,2019,250
113,Sarpsborg (1992-2019),Sum all sectors,20-49 employees,Establishments,2019,194
114,Sarpsborg (1992-2019),Sum all sectors,50-99 employees,Establishments,2019,63
115,Sarpsborg (1992-2019),Sum all sectors,100 - 249 employees,Establishments,2019,36
116,Sarpsborg (1992-2019),Sum all sectors,250 employees and more,Establishments,2019,8
117,Sarpsborg (1992-2019),General government,All size groups,Establishments,2019,209
118,Sarpsborg (1992-2019),General government,No one employeed,Establishments,2019,14
119,Sarpsborg (1992-2019),General government,1-4 employees,Establishments,2019,20
120,Sarpsborg (1992-2019),General government,5-9 employees,Establishments,2019,16
121,Sarpsborg (1992-2019),General government,10-19 employees,Establishments,2019,34
122,Sarpsborg (1992-2019),General government,20-49 employees,Establishments,2019,66
123,Sarpsborg (1992-2019),General government,50-99 employees,Establishments,2019,36
124,Sarpsborg (1992-2019),General government,100 - 249 employees,Establishments,2019,18
125,Sarpsborg (1992-2019),General government,250 employees and more,Establishments,2019,5
126,Sarpsborg (1992-2019),Financial corporations,All size groups,Establishments,2019,29
127,Sarpsborg (1992-2019),Financial corporations,No one employeed,Establishments,2019,14
128,Sarpsborg (1992-2019),Financial corporations,1-4 employees,Establishments,2019,5
129,Sarpsborg (1992-2019),Financial corporations,5-9 employees,Establishments,2019,4
130,Sarpsborg (1992-2019),Financial corporations,10-19 employees,Establishments,2019,3
131,Sarpsborg (1992-2019),Financial corporations,20-49 employees,Establishments,2019,1
132,Sarpsborg (1992-2019),Financial corporations,50-99 employees,Establishments,2019,2
133,Sarpsborg (1992-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
134,Sarpsborg (1992-2019),Financial corporations,250 employees and more,Establishments,2019,0
135,Sarpsborg (1992-2019),Non-financial corporations,All size groups,Establishments,2019,2540
