,region,size of household,contents,year,value
0,Halden (-2019),1 person,Persons in private households,2019,19.2
1,Halden (-2019),1 person,Private households,2019,40.1
2,Halden (-2019),2 persons,Persons in private households,2019,31.2
3,Halden (-2019),2 persons,Private households,2019,32.6
4,Halden (-2019),3 persons,Persons in private households,2019,17.2
5,Halden (-2019),3 persons,Private households,2019,12.0
6,Halden (-2019),4 persons,Persons in private households,2019,20.5
7,Halden (-2019),4 persons,Private households,2019,10.7
8,Halden (-2019),5 persons or more,Persons in private households,2019,12.0
9,Halden (-2019),5 persons or more,Private households,2019,4.7
10,Moss (-2019),1 person,Persons in private households,2019,19.6
11,Moss (-2019),1 person,Private households,2019,41.0
12,Moss (-2019),2 persons,Persons in private households,2019,30.2
13,Moss (-2019),2 persons,Private households,2019,31.5
14,Moss (-2019),3 persons,Persons in private households,2019,17.3
15,Moss (-2019),3 persons,Private households,2019,12.1
16,Moss (-2019),4 persons,Persons in private households,2019,20.3
17,Moss (-2019),4 persons,Private households,2019,10.6
18,Moss (-2019),5 persons or more,Persons in private households,2019,12.5
19,Moss (-2019),5 persons or more,Private households,2019,4.9
20,Sarpsborg (1992-2019),1 person,Persons in private households,2019,16.7
21,Sarpsborg (1992-2019),1 person,Private households,2019,36.7
22,Sarpsborg (1992-2019),2 persons,Persons in private households,2019,29.7
23,Sarpsborg (1992-2019),2 persons,Private households,2019,32.5
24,Sarpsborg (1992-2019),3 persons,Persons in private households,2019,18.4
25,Sarpsborg (1992-2019),3 persons,Private households,2019,13.4
26,Sarpsborg (1992-2019),4 persons,Persons in private households,2019,22.2
27,Sarpsborg (1992-2019),4 persons,Private households,2019,12.2
28,Sarpsborg (1992-2019),5 persons or more,Persons in private households,2019,13.1
29,Sarpsborg (1992-2019),5 persons or more,Private households,2019,5.3
30,Fredrikstad (1994-2019),1 person,Persons in private households,2019,16.9
31,Fredrikstad (1994-2019),1 person,Private households,2019,36.7
32,Fredrikstad (1994-2019),2 persons,Persons in private households,2019,30.2
33,Fredrikstad (1994-2019),2 persons,Private households,2019,32.9
34,Fredrikstad (1994-2019),3 persons,Persons in private households,2019,18.6
35,Fredrikstad (1994-2019),3 persons,Private households,2019,13.5
36,Fredrikstad (1994-2019),4 persons,Persons in private households,2019,22.0
37,Fredrikstad (1994-2019),4 persons,Private households,2019,12.0
38,Fredrikstad (1994-2019),5 persons or more,Persons in private households,2019,12.4
39,Fredrikstad (1994-2019),5 persons or more,Private households,2019,5.0
40,Hvaler (-2019),1 person,Persons in private households,2019,16.0
41,Hvaler (-2019),1 person,Private households,2019,33.7
42,Hvaler (-2019),2 persons,Persons in private households,2019,38.9
43,Hvaler (-2019),2 persons,Private households,2019,40.9
44,Hvaler (-2019),3 persons,Persons in private households,2019,16.4
45,Hvaler (-2019),3 persons,Private households,2019,11.5
46,Hvaler (-2019),4 persons,Persons in private households,2019,19.4
47,Hvaler (-2019),4 persons,Private households,2019,10.2
48,Hvaler (-2019),5 persons or more,Persons in private households,2019,9.2
49,Hvaler (-2019),5 persons or more,Private households,2019,3.7
50,Aremark (-2019),1 person,Persons in private households,2019,15.9
51,Aremark (-2019),1 person,Private households,2019,34.3
52,Aremark (-2019),2 persons,Persons in private households,2019,34.4
53,Aremark (-2019),2 persons,Private households,2019,37.1
54,Aremark (-2019),3 persons,Persons in private households,2019,19.2
55,Aremark (-2019),3 persons,Private households,2019,13.8
56,Aremark (-2019),4 persons,Persons in private households,2019,20.2
57,Aremark (-2019),4 persons,Private households,2019,10.9
58,Aremark (-2019),5 persons or more,Persons in private households,2019,10.3
59,Aremark (-2019),5 persons or more,Private households,2019,3.9
60,Marker (-2019),1 person,Persons in private households,2019,18.2
61,Marker (-2019),1 person,Private households,2019,38.1
62,Marker (-2019),2 persons,Persons in private households,2019,34.3
63,Marker (-2019),2 persons,Private households,2019,35.8
64,Marker (-2019),3 persons,Persons in private households,2019,16.1
65,Marker (-2019),3 persons,Private households,2019,11.2
66,Marker (-2019),4 persons,Persons in private households,2019,19.2
67,Marker (-2019),4 persons,Private households,2019,10.1
68,Marker (-2019),5 persons or more,Persons in private households,2019,12.2
69,Marker (-2019),5 persons or more,Private households,2019,4.8
70,Rømskog (-2019),1 person,Persons in private households,2019,19.7
71,Rømskog (-2019),1 person,Private households,2019,40.9
