,region,type of household,contents,year,value
0,Halden (-2019),Living alone,Households,2019,5961
1,Halden (-2019),Couple without resident children,Households,2019,3842
2,Halden (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1150
3,Halden (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1460
4,Halden (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,182
5,Halden (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,572
6,Halden (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1106
7,Halden (-2019),Two or more-family households without resident children 0-17 years,Households,2019,410
8,Halden (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,83
9,Halden (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,99
10,Halden (-2019),Other housesholds,Households,2019,0
11,Moss (-2019),Living alone,Households,2019,6287
12,Moss (-2019),Couple without resident children,Households,2019,3637
13,Moss (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1223
14,Moss (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1521
15,Moss (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,191
16,Moss (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,662
17,Moss (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1156
18,Moss (-2019),Two or more-family households without resident children 0-17 years,Households,2019,477
19,Moss (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,87
20,Moss (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,105
21,Moss (-2019),Other housesholds,Households,2019,0
22,Sarpsborg (1992-2019),Living alone,Households,2019,9196
23,Sarpsborg (1992-2019),Couple without resident children,Households,2019,6291
24,Sarpsborg (1992-2019),Couple with small children (youngest child 0-5 years),Households,2019,2241
25,Sarpsborg (1992-2019),Couple with older children (youngest child 6-17 years),Households,2019,2746
26,Sarpsborg (1992-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,337
27,Sarpsborg (1992-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1117
28,Sarpsborg (1992-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1982
29,Sarpsborg (1992-2019),Two or more-family households without resident children 0-17 years,Households,2019,776
30,Sarpsborg (1992-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,183
31,Sarpsborg (1992-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,208
32,Sarpsborg (1992-2019),Other housesholds,Households,2019,0
33,Fredrikstad (1994-2019),Living alone,Households,2019,13550
34,Fredrikstad (1994-2019),Couple without resident children,Households,2019,9381
35,Fredrikstad (1994-2019),Couple with small children (youngest child 0-5 years),Households,2019,3078
36,Fredrikstad (1994-2019),Couple with older children (youngest child 6-17 years),Households,2019,4104
37,Fredrikstad (1994-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,476
38,Fredrikstad (1994-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1452
39,Fredrikstad (1994-2019),One family households with adult children (youngest child 18 years and over,Households,2019,3091
40,Fredrikstad (1994-2019),Two or more-family households without resident children 0-17 years,Households,2019,1257
41,Fredrikstad (1994-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,258
42,Fredrikstad (1994-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,258
43,Fredrikstad (1994-2019),Other housesholds,Households,2019,0
44,Hvaler (-2019),Living alone,Households,2019,722
45,Hvaler (-2019),Couple without resident children,Households,2019,746
46,Hvaler (-2019),Couple with small children (youngest child 0-5 years),Households,2019,128
47,Hvaler (-2019),Couple with older children (youngest child 6-17 years),Households,2019,210
48,Hvaler (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,16
49,Hvaler (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,61
50,Hvaler (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,184
51,Hvaler (-2019),Two or more-family households without resident children 0-17 years,Households,2019,53
52,Hvaler (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
53,Hvaler (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
54,Hvaler (-2019),Other housesholds,Households,2019,0
55,Aremark (-2019),Living alone,Households,2019,211
56,Aremark (-2019),Couple without resident children,Households,2019,200
57,Aremark (-2019),Couple with small children (youngest child 0-5 years),Households,2019,40
58,Aremark (-2019),Couple with older children (youngest child 6-17 years),Households,2019,63
59,Aremark (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
60,Aremark (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,23
61,Aremark (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,47
62,Aremark (-2019),Two or more-family households without resident children 0-17 years,Households,2019,13
63,Aremark (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
64,Aremark (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
65,Aremark (-2019),Other housesholds,Households,2019,0
66,Marker (-2019),Living alone,Households,2019,640
67,Marker (-2019),Couple without resident children,Households,2019,526
68,Marker (-2019),Couple with small children (youngest child 0-5 years),Households,2019,109
69,Marker (-2019),Couple with older children (youngest child 6-17 years),Households,2019,164
70,Marker (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,14
71,Marker (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,46
72,Marker (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,122
73,Marker (-2019),Two or more-family households without resident children 0-17 years,Households,2019,39
74,Marker (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,12
75,Marker (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
76,Marker (-2019),Other housesholds,Households,2019,0
