,region,contents,year,value
0,Halden (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,84.1
1,Halden (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,92.2
2,Halden (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,97.1
3,Halden (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.9
4,Moss (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,80.4
5,Moss (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,90.4
6,Moss (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,96.0
7,Moss (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.7
8,Sarpsborg (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,80.1
9,Sarpsborg (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,90.0
10,Sarpsborg (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,96.1
11,Sarpsborg (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.9
12,Fredrikstad (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,77.6
13,Fredrikstad (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,89.2
14,Fredrikstad (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,96.5
15,Fredrikstad (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.7
16,Hvaler (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,92.6
17,Hvaler (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,94.0
18,Hvaler (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,94.6
19,Hvaler (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.1
20,Aremark (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,87.5
21,Aremark (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,92.3
22,Aremark (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,94.4
23,Aremark (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.7
24,Marker (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,60.4
25,Marker (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,82.6
26,Marker (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,94.1
27,Marker (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.2
28,Rømskog (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,71.4
29,Rømskog (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,91.3
30,Rømskog (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,100.0
31,Rømskog (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,6.3
32,Trøgstad (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,76.0
33,Trøgstad (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,87.9
34,Trøgstad (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,94.6
35,Trøgstad (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.4
36,Spydeberg (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,77.9
37,Spydeberg (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,88.0
38,Spydeberg (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,94.1
39,Spydeberg (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.7
40,Askim (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,77.9
41,Askim (-2019),Percentage of 1-5 year-olds in kindergarten (per cent),2019,90.0
42,Askim (-2019),Percentage of 3-5 year-olds in kindergarten (per cent),2019,97.3
43,Askim (-2019),"Number of children, adjusted, per man-year in primary staff, all kindergartens (number)",2019,5.8
44,Eidsberg (-2019),Percentage of 1-2 year-olds in kindergarten (per cent),2019,76.0
