,region,ownership,contents,year,value
0,Halden,Municipal,Kindergartens,2019,7
1,Halden,County authorities/Government,Kindergartens,2019,0
2,Halden,Private,Kindergartens,2019,28
3,Moss,Municipal,Kindergartens,2019,14
4,Moss,County authorities/Government,Kindergartens,2019,0
5,Moss,Private,Kindergartens,2019,24
6,Sarpsborg,Municipal,Kindergartens,2019,10
7,Sarpsborg,County authorities/Government,Kindergartens,2019,0
8,Sarpsborg,Private,Kindergartens,2019,38
9,Fredrikstad,Municipal,Kindergartens,2019,23
10,Fredrikstad,County authorities/Government,Kindergartens,2019,0
11,Fredrikstad,Private,Kindergartens,2019,57
12,Drammen,Municipal,Kindergartens,2019,36
13,Drammen,County authorities/Government,Kindergartens,2019,0
14,Drammen,Private,Kindergartens,2019,50
15,Kongsberg,Municipal,Kindergartens,2019,7
16,Kongsberg,County authorities/Government,Kindergartens,2019,0
17,Kongsberg,Private,Kindergartens,2019,21
18,Ringerike,Municipal,Kindergartens,2019,11
19,Ringerike,County authorities/Government,Kindergartens,2019,0
20,Ringerike,Private,Kindergartens,2019,18
21,Hvaler,Municipal,Kindergartens,2019,3
22,Hvaler,County authorities/Government,Kindergartens,2019,0
23,Hvaler,Private,Kindergartens,2019,1
24,Aremark,Municipal,Kindergartens,2019,1
25,Aremark,County authorities/Government,Kindergartens,2019,0
26,Aremark,Private,Kindergartens,2019,0
27,Marker,Municipal,Kindergartens,2019,1
28,Marker,County authorities/Government,Kindergartens,2019,0
29,Marker,Private,Kindergartens,2019,3
30,Indre Østfold,Municipal,Kindergartens,2019,16
31,Indre Østfold,County authorities/Government,Kindergartens,2019,0
32,Indre Østfold,Private,Kindergartens,2019,21
33,Skiptvet,Municipal,Kindergartens,2019,3
34,Skiptvet,County authorities/Government,Kindergartens,2019,0
35,Skiptvet,Private,Kindergartens,2019,1
36,Rakkestad,Municipal,Kindergartens,2019,5
37,Rakkestad,County authorities/Government,Kindergartens,2019,0
38,Rakkestad,Private,Kindergartens,2019,4
39,Råde,Municipal,Kindergartens,2019,2
40,Råde,County authorities/Government,Kindergartens,2019,0
41,Råde,Private,Kindergartens,2019,5
42,Våler (Østfold),Municipal,Kindergartens,2019,5
43,Våler (Østfold),County authorities/Government,Kindergartens,2019,0
44,Våler (Østfold),Private,Kindergartens,2019,3
45,Vestby,Municipal,Kindergartens,2019,8
46,Vestby,County authorities/Government,Kindergartens,2019,0
47,Vestby,Private,Kindergartens,2019,13
48,Nordre Follo,Municipal,Kindergartens,2019,48
49,Nordre Follo,County authorities/Government,Kindergartens,2019,0
50,Nordre Follo,Private,Kindergartens,2019,13
51,Ås,Municipal,Kindergartens,2019,8
52,Ås,County authorities/Government,Kindergartens,2019,0
53,Ås,Private,Kindergartens,2019,14
54,Frogn,Municipal,Kindergartens,2019,7
55,Frogn,County authorities/Government,Kindergartens,2019,0
56,Frogn,Private,Kindergartens,2019,9
57,Nesodden,Municipal,Kindergartens,2019,9
58,Nesodden,County authorities/Government,Kindergartens,2019,0
59,Nesodden,Private,Kindergartens,2019,17
60,Bærum,Municipal,Kindergartens,2019,52
61,Bærum,County authorities/Government,Kindergartens,2019,0
62,Bærum,Private,Kindergartens,2019,114
63,Asker,Municipal,Kindergartens,2019,35
64,Asker,County authorities/Government,Kindergartens,2019,0
65,Asker,Private,Kindergartens,2019,73
66,Aurskog-Høland,Municipal,Kindergartens,2019,9
67,Aurskog-Høland,County authorities/Government,Kindergartens,2019,1
68,Aurskog-Høland,Private,Kindergartens,2019,8
69,Rælingen,Municipal,Kindergartens,2019,9
70,Rælingen,County authorities/Government,Kindergartens,2019,0
71,Rælingen,Private,Kindergartens,2019,8
72,Enebakk,Municipal,Kindergartens,2019,3
73,Enebakk,County authorities/Government,Kindergartens,2019,0
74,Enebakk,Private,Kindergartens,2019,9
75,Lørenskog,Municipal,Kindergartens,2019,18
76,Lørenskog,County authorities/Government,Kindergartens,2019,5
77,Lørenskog,Private,Kindergartens,2019,23
78,Lillestrøm,Municipal,Kindergartens,2019,29
79,Lillestrøm,County authorities/Government,Kindergartens,2019,0
80,Lillestrøm,Private,Kindergartens,2019,46
81,Nittedal,Municipal,Kindergartens,2019,5
82,Nittedal,County authorities/Government,Kindergartens,2019,0
83,Nittedal,Private,Kindergartens,2019,22
84,Gjerdrum,Municipal,Kindergartens,2019,2
85,Gjerdrum,County authorities/Government,Kindergartens,2019,0
86,Gjerdrum,Private,Kindergartens,2019,6
87,Ullensaker,Municipal,Kindergartens,2019,7
88,Ullensaker,County authorities/Government,Kindergartens,2019,0
89,Ullensaker,Private,Kindergartens,2019,38
90,Nes,Municipal,Kindergartens,2019,4
91,Nes,County authorities/Government,Kindergartens,2019,0
92,Nes,Private,Kindergartens,2019,16
93,Eidsvoll,Municipal,Kindergartens,2019,6
94,Eidsvoll,County authorities/Government,Kindergartens,2019,0
95,Eidsvoll,Private,Kindergartens,2019,13
96,Nannestad,Municipal,Kindergartens,2019,4
97,Nannestad,County authorities/Government,Kindergartens,2019,0
98,Nannestad,Private,Kindergartens,2019,7
99,Hurdal,Municipal,Kindergartens,2019,1
100,Hurdal,County authorities/Government,Kindergartens,2019,0
101,Hurdal,Private,Kindergartens,2019,2
102,Hole,Municipal,Kindergartens,2019,7
103,Hole,County authorities/Government,Kindergartens,2019,0
104,Hole,Private,Kindergartens,2019,2
105,Flå,Municipal,Kindergartens,2019,1
106,Flå,County authorities/Government,Kindergartens,2019,0
107,Flå,Private,Kindergartens,2019,0
108,Nesbyen,Municipal,Kindergartens,2019,4
109,Nesbyen,County authorities/Government,Kindergartens,2019,0
110,Nesbyen,Private,Kindergartens,2019,0
111,Gol,Municipal,Kindergartens,2019,4
112,Gol,County authorities/Government,Kindergartens,2019,0
113,Gol,Private,Kindergartens,2019,1
114,Hemsedal,Municipal,Kindergartens,2019,2
115,Hemsedal,County authorities/Government,Kindergartens,2019,0
116,Hemsedal,Private,Kindergartens,2019,0
117,Ål,Municipal,Kindergartens,2019,5
118,Ål,County authorities/Government,Kindergartens,2019,0
119,Ål,Private,Kindergartens,2019,0
120,Hol,Municipal,Kindergartens,2019,5
121,Hol,County authorities/Government,Kindergartens,2019,0
122,Hol,Private,Kindergartens,2019,2
123,Sigdal,Municipal,Kindergartens,2019,0
124,Sigdal,County authorities/Government,Kindergartens,2019,0
125,Sigdal,Private,Kindergartens,2019,4
126,Krødsherad,Municipal,Kindergartens,2019,2
127,Krødsherad,County authorities/Government,Kindergartens,2019,0
128,Krødsherad,Private,Kindergartens,2019,2
129,Modum,Municipal,Kindergartens,2019,6
130,Modum,County authorities/Government,Kindergartens,2019,0
131,Modum,Private,Kindergartens,2019,9
132,Øvre Eiker,Municipal,Kindergartens,2019,5
133,Øvre Eiker,County authorities/Government,Kindergartens,2019,0
134,Øvre Eiker,Private,Kindergartens,2019,12
135,Lier,Municipal,Kindergartens,2019,3
136,Lier,County authorities/Government,Kindergartens,2019,0
137,Lier,Private,Kindergartens,2019,24
138,Flesberg,Municipal,Kindergartens,2019,3
139,Flesberg,County authorities/Government,Kindergartens,2019,0
140,Flesberg,Private,Kindergartens,2019,0
141,Rollag,Municipal,Kindergartens,2019,2
142,Rollag,County authorities/Government,Kindergartens,2019,0
143,Rollag,Private,Kindergartens,2019,0
144,Nore og Uvdal,Municipal,Kindergartens,2019,4
145,Nore og Uvdal,County authorities/Government,Kindergartens,2019,0
146,Nore og Uvdal,Private,Kindergartens,2019,0
147,Jevnaker,Municipal,Kindergartens,2019,4
148,Jevnaker,County authorities/Government,Kindergartens,2019,0
149,Jevnaker,Private,Kindergartens,2019,3
150,Lunner,Municipal,Kindergartens,2019,6
151,Lunner,County authorities/Government,Kindergartens,2019,0
152,Lunner,Private,Kindergartens,2019,7
153,Oslo,Municipal,Kindergartens,2019,316
154,Oslo,County authorities/Government,Kindergartens,2019,1
155,Oslo,Private,Kindergartens,2019,401
156,Kongsvinger,Municipal,Kindergartens,2019,6
157,Kongsvinger,County authorities/Government,Kindergartens,2019,0
158,Kongsvinger,Private,Kindergartens,2019,5
159,Hamar,Municipal,Kindergartens,2019,19
160,Hamar,County authorities/Government,Kindergartens,2019,0
161,Hamar,Private,Kindergartens,2019,13
162,Lillehammer,Municipal,Kindergartens,2019,12
163,Lillehammer,County authorities/Government,Kindergartens,2019,0
164,Lillehammer,Private,Kindergartens,2019,16
165,Gjøvik,Municipal,Kindergartens,2019,10
166,Gjøvik,County authorities/Government,Kindergartens,2019,0
167,Gjøvik,Private,Kindergartens,2019,16
168,Ringsaker,Municipal,Kindergartens,2019,17
169,Ringsaker,County authorities/Government,Kindergartens,2019,0
170,Ringsaker,Private,Kindergartens,2019,20
171,Løten,Municipal,Kindergartens,2019,5
172,Løten,County authorities/Government,Kindergartens,2019,0
173,Løten,Private,Kindergartens,2019,3
174,Stange,Municipal,Kindergartens,2019,11
175,Stange,County authorities/Government,Kindergartens,2019,0
176,Stange,Private,Kindergartens,2019,10
177,Nord-Odal,Municipal,Kindergartens,2019,3
178,Nord-Odal,County authorities/Government,Kindergartens,2019,0
179,Nord-Odal,Private,Kindergartens,2019,0
180,Sør-Odal,Municipal,Kindergartens,2019,4
181,Sør-Odal,County authorities/Government,Kindergartens,2019,0
182,Sør-Odal,Private,Kindergartens,2019,4
183,Eidskog,Municipal,Kindergartens,2019,3
184,Eidskog,County authorities/Government,Kindergartens,2019,0
185,Eidskog,Private,Kindergartens,2019,2
186,Grue,Municipal,Kindergartens,2019,3
187,Grue,County authorities/Government,Kindergartens,2019,0
188,Grue,Private,Kindergartens,2019,1
189,Åsnes,Municipal,Kindergartens,2019,4
190,Åsnes,County authorities/Government,Kindergartens,2019,0
191,Åsnes,Private,Kindergartens,2019,4
192,Våler (Hedmark),Municipal,Kindergartens,2019,2
193,Våler (Hedmark),County authorities/Government,Kindergartens,2019,0
194,Våler (Hedmark),Private,Kindergartens,2019,2
195,Elverum,Municipal,Kindergartens,2019,8
196,Elverum,County authorities/Government,Kindergartens,2019,0
197,Elverum,Private,Kindergartens,2019,8
198,Trysil,Municipal,Kindergartens,2019,6
199,Trysil,County authorities/Government,Kindergartens,2019,0
200,Trysil,Private,Kindergartens,2019,5
201,Åmot,Municipal,Kindergartens,2019,4
202,Åmot,County authorities/Government,Kindergartens,2019,0
203,Åmot,Private,Kindergartens,2019,3
204,Stor-Elvdal,Municipal,Kindergartens,2019,2
205,Stor-Elvdal,County authorities/Government,Kindergartens,2019,0
206,Stor-Elvdal,Private,Kindergartens,2019,1
207,Rendalen,Municipal,Kindergartens,2019,1
208,Rendalen,County authorities/Government,Kindergartens,2019,0
209,Rendalen,Private,Kindergartens,2019,0
210,Engerdal,Municipal,Kindergartens,2019,2
211,Engerdal,County authorities/Government,Kindergartens,2019,0
