,region,contents,year,value
0,The whole country,"Rooms, total (number)",2019,39259.0
1,The whole country,Private rooms (number),2019,38610.0
2,The whole country,Rooms for two or more (number),2019,649.0
3,The whole country,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,35047.0
4,The whole country,Share of single rooms (per cent),2019,98.3
5,The whole country,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,89.3
6,The whole country except Oslo,"Rooms, total (number)",2019,35226.0
7,The whole country except Oslo,Private rooms (number),2019,34608.0
8,The whole country except Oslo,Rooms for two or more (number),2019,618.0
9,The whole country except Oslo,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,32045.0
10,The whole country except Oslo,Share of single rooms (per cent),2019,98.2
11,The whole country except Oslo,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,91.0
12,Halden,"Rooms, total (number)",2019,
13,Halden,Private rooms (number),2019,
14,Halden,Rooms for two or more (number),2019,
15,Halden,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
16,Halden,Share of single rooms (per cent),2019,
17,Halden,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
18,Moss,"Rooms, total (number)",2019,
19,Moss,Private rooms (number),2019,
20,Moss,Rooms for two or more (number),2019,
21,Moss,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
22,Moss,Share of single rooms (per cent),2019,
23,Moss,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
24,Sarpsborg,"Rooms, total (number)",2019,
25,Sarpsborg,Private rooms (number),2019,
26,Sarpsborg,Rooms for two or more (number),2019,
27,Sarpsborg,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
28,Sarpsborg,Share of single rooms (per cent),2019,
29,Sarpsborg,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
30,Fredrikstad,"Rooms, total (number)",2019,
31,Fredrikstad,Private rooms (number),2019,
32,Fredrikstad,Rooms for two or more (number),2019,
33,Fredrikstad,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
34,Fredrikstad,Share of single rooms (per cent),2019,
35,Fredrikstad,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
36,Drammen,"Rooms, total (number)",2019,
37,Drammen,Private rooms (number),2019,
38,Drammen,Rooms for two or more (number),2019,
39,Drammen,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
40,Drammen,Share of single rooms (per cent),2019,
41,Drammen,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
42,Kongsberg,"Rooms, total (number)",2019,
43,Kongsberg,Private rooms (number),2019,
44,Kongsberg,Rooms for two or more (number),2019,
45,Kongsberg,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
46,Kongsberg,Share of single rooms (per cent),2019,
47,Kongsberg,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
48,Ringerike,"Rooms, total (number)",2019,
49,Ringerike,Private rooms (number),2019,
50,Ringerike,Rooms for two or more (number),2019,
51,Ringerike,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
52,Ringerike,Share of single rooms (per cent),2019,
53,Ringerike,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
54,Hvaler,"Rooms, total (number)",2019,
55,Hvaler,Private rooms (number),2019,
56,Hvaler,Rooms for two or more (number),2019,
57,Hvaler,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
58,Hvaler,Share of single rooms (per cent),2019,
59,Hvaler,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
60,Aremark,"Rooms, total (number)",2019,
61,Aremark,Private rooms (number),2019,
62,Aremark,Rooms for two or more (number),2019,
