,region,age,contents,year,value
0,Halden (-2019),"Years, total",Residents in dwellings,2018,508.0
1,Halden (-2019),"Years, total",Residents in dwellings (per 1 000 inhabitants),2018,16.3
2,Halden (-2019),Under 67 years,Residents in dwellings,2018,240.0
3,Halden (-2019),Under 67 years,Residents in dwellings (per 1 000 inhabitants),2018,9.36
4,Halden (-2019),67-74 years,Residents in dwellings,2018,63.0
5,Halden (-2019),67-74 years,Residents in dwellings (per 1 000 inhabitants),2018,21.4
6,Halden (-2019),75-79 years,Residents in dwellings,2018,34.0
7,Halden (-2019),75-79 years,Residents in dwellings (per 1 000 inhabitants),2018,31.86
8,Halden (-2019),80-84 years,Residents in dwellings,2018,52.0
9,Halden (-2019),80-84 years,Residents in dwellings (per 1 000 inhabitants),2018,72.72
10,Halden (-2019),85-89 years,Residents in dwellings,2018,55.0
11,Halden (-2019),85-89 years,Residents in dwellings (per 1 000 inhabitants),2018,112.7
12,Halden (-2019),90 years or older,Residents in dwellings,2018,64.0
13,Halden (-2019),90 years or older,Residents in dwellings (per 1 000 inhabitants),2018,212.62
14,Halden (-2019),Unknown age,Residents in dwellings,2018,
15,Halden (-2019),Unknown age,Residents in dwellings (per 1 000 inhabitants),2018,
16,Moss (-2019),"Years, total",Residents in dwellings,2018,350.0
17,Moss (-2019),"Years, total",Residents in dwellings (per 1 000 inhabitants),2018,10.7
18,Moss (-2019),Under 67 years,Residents in dwellings,2018,144.0
19,Moss (-2019),Under 67 years,Residents in dwellings (per 1 000 inhabitants),2018,5.36
20,Moss (-2019),67-74 years,Residents in dwellings,2018,55.0
21,Moss (-2019),67-74 years,Residents in dwellings (per 1 000 inhabitants),2018,17.82
22,Moss (-2019),75-79 years,Residents in dwellings,2018,27.0
23,Moss (-2019),75-79 years,Residents in dwellings (per 1 000 inhabitants),2018,22.82
24,Moss (-2019),80-84 years,Residents in dwellings,2018,25.0
25,Moss (-2019),80-84 years,Residents in dwellings (per 1 000 inhabitants),2018,30.48
26,Moss (-2019),85-89 years,Residents in dwellings,2018,34.0
27,Moss (-2019),85-89 years,Residents in dwellings (per 1 000 inhabitants),2018,73.76
28,Moss (-2019),90 years or older,Residents in dwellings,2018,65.0
29,Moss (-2019),90 years or older,Residents in dwellings (per 1 000 inhabitants),2018,225.7
30,Moss (-2019),Unknown age,Residents in dwellings,2018,
31,Moss (-2019),Unknown age,Residents in dwellings (per 1 000 inhabitants),2018,
32,Sarpsborg (1992-2019),"Years, total",Residents in dwellings,2018,934.0
33,Sarpsborg (1992-2019),"Years, total",Residents in dwellings (per 1 000 inhabitants),2018,16.68
34,Sarpsborg (1992-2019),Under 67 years,Residents in dwellings,2018,514.0
35,Sarpsborg (1992-2019),Under 67 years,Residents in dwellings (per 1 000 inhabitants),2018,11.0
36,Sarpsborg (1992-2019),67-74 years,Residents in dwellings,2018,115.0
37,Sarpsborg (1992-2019),67-74 years,Residents in dwellings (per 1 000 inhabitants),2018,23.88
38,Sarpsborg (1992-2019),75-79 years,Residents in dwellings,2018,56.0
39,Sarpsborg (1992-2019),75-79 years,Residents in dwellings (per 1 000 inhabitants),2018,30.12
40,Sarpsborg (1992-2019),80-84 years,Residents in dwellings,2018,89.0
41,Sarpsborg (1992-2019),80-84 years,Residents in dwellings (per 1 000 inhabitants),2018,67.88
42,Sarpsborg (1992-2019),85-89 years,Residents in dwellings,2018,85.0
43,Sarpsborg (1992-2019),85-89 years,Residents in dwellings (per 1 000 inhabitants),2018,106.92
44,Sarpsborg (1992-2019),90 years or older,Residents in dwellings,2018,75.0
45,Sarpsborg (1992-2019),90 years or older,Residents in dwellings (per 1 000 inhabitants),2018,162.68
46,Sarpsborg (1992-2019),Unknown age,Residents in dwellings,2018,
47,Sarpsborg (1992-2019),Unknown age,Residents in dwellings (per 1 000 inhabitants),2018,
48,Fredrikstad (1994-2019),"Years, total",Residents in dwellings,2018,1030.0
49,Fredrikstad (1994-2019),"Years, total",Residents in dwellings (per 1 000 inhabitants),2018,12.6
50,Fredrikstad (1994-2019),Under 67 years,Residents in dwellings,2018,683.0
51,Fredrikstad (1994-2019),Under 67 years,Residents in dwellings (per 1 000 inhabitants),2018,9.98
52,Fredrikstad (1994-2019),67-74 years,Residents in dwellings,2018,104.0
