,region,age,contents,year,value
0,Halden,67-79 years,Living alone,2019,1138
1,Halden,67-79 years,Living with others,2019,2836
2,Halden,80 years or older,Living alone,2019,758
3,Halden,80 years or older,Living with others,2019,669
4,Moss,67-79 years,Living alone,2019,1858
5,Moss,67-79 years,Living with others,2019,4306
6,Moss,80 years or older,Living alone,2019,1162
7,Moss,80 years or older,Living with others,2019,1035
8,Sarpsborg,67-79 years,Living alone,2019,1926
9,Sarpsborg,67-79 years,Living with others,2019,4655
10,Sarpsborg,80 years or older,Living alone,2019,1288
11,Sarpsborg,80 years or older,Living with others,2019,1114
12,Fredrikstad,67-79 years,Living alone,2019,2622
13,Fredrikstad,67-79 years,Living with others,2019,6937
14,Fredrikstad,80 years or older,Living alone,2019,1810
15,Fredrikstad,80 years or older,Living with others,2019,1678
16,Drammen,67-79 years,Living alone,2019,3352
17,Drammen,67-79 years,Living with others,2019,7744
18,Drammen,80 years or older,Living alone,2019,2059
19,Drammen,80 years or older,Living with others,2019,1897
20,Kongsberg,67-79 years,Living alone,2019,868
21,Kongsberg,67-79 years,Living with others,2019,2426
22,Kongsberg,80 years or older,Living alone,2019,589
23,Kongsberg,80 years or older,Living with others,2019,577
24,Ringerike,67-79 years,Living alone,2019,1165
25,Ringerike,67-79 years,Living with others,2019,2728
26,Ringerike,80 years or older,Living alone,2019,770
27,Ringerike,80 years or older,Living with others,2019,664
28,Hvaler,67-79 years,Living alone,2019,197
29,Hvaler,67-79 years,Living with others,2019,653
30,Hvaler,80 years or older,Living alone,2019,85
31,Hvaler,80 years or older,Living with others,2019,118
32,Aremark,67-79 years,Living alone,2019,51
33,Aremark,67-79 years,Living with others,2019,136
34,Aremark,80 years or older,Living alone,2019,37
35,Aremark,80 years or older,Living with others,2019,31
36,Marker,67-79 years,Living alone,2019,146
37,Marker,67-79 years,Living with others,2019,422
38,Marker,80 years or older,Living alone,2019,111
39,Marker,80 years or older,Living with others,2019,106
40,Indre Østfold,67-79 years,Living alone,2019,1571
41,Indre Østfold,67-79 years,Living with others,2019,3872
42,Indre Østfold,80 years or older,Living alone,2019,895
43,Indre Østfold,80 years or older,Living with others,2019,796
44,Skiptvet,67-79 years,Living alone,2019,109
45,Skiptvet,67-79 years,Living with others,2019,308
46,Skiptvet,80 years or older,Living alone,2019,86
47,Skiptvet,80 years or older,Living with others,2019,47
48,Rakkestad,67-79 years,Living alone,2019,279
49,Rakkestad,67-79 years,Living with others,2019,735
50,Rakkestad,80 years or older,Living alone,2019,202
51,Rakkestad,80 years or older,Living with others,2019,166
52,Råde,67-79 years,Living alone,2019,208
53,Råde,67-79 years,Living with others,2019,750
54,Råde,80 years or older,Living alone,2019,175
55,Råde,80 years or older,Living with others,2019,214
56,Våler (Østfold),67-79 years,Living alone,2019,125
57,Våler (Østfold),67-79 years,Living with others,2019,431
58,Våler (Østfold),80 years or older,Living alone,2019,63
59,Våler (Østfold),80 years or older,Living with others,2019,73
60,Vestby,67-79 years,Living alone,2019,459
61,Vestby,67-79 years,Living with others,2019,1639
62,Vestby,80 years or older,Living alone,2019,231
63,Vestby,80 years or older,Living with others,2019,242
64,Nordre Follo,67-79 years,Living alone,2019,1517
65,Nordre Follo,67-79 years,Living with others,2019,4738
66,Nordre Follo,80 years or older,Living alone,2019,1113
67,Nordre Follo,80 years or older,Living with others,2019,1111
68,Ås,67-79 years,Living alone,2019,418
69,Ås,67-79 years,Living with others,2019,1336
70,Ås,80 years or older,Living alone,2019,299
71,Ås,80 years or older,Living with others,2019,403
72,Frogn,67-79 years,Living alone,2019,556
73,Frogn,67-79 years,Living with others,2019,1552
74,Frogn,80 years or older,Living alone,2019,341
75,Frogn,80 years or older,Living with others,2019,277
76,Nesodden,67-79 years,Living alone,2019,534
77,Nesodden,67-79 years,Living with others,2019,1464
78,Nesodden,80 years or older,Living alone,2019,297
79,Nesodden,80 years or older,Living with others,2019,310
80,Bærum,67-79 years,Living alone,2019,3383
81,Bærum,67-79 years,Living with others,2019,8891
82,Bærum,80 years or older,Living alone,2019,3003
83,Bærum,80 years or older,Living with others,2019,2621
84,Asker,67-79 years,Living alone,2019,2297
85,Asker,67-79 years,Living with others,2019,7420
86,Asker,80 years or older,Living alone,2019,1710
87,Asker,80 years or older,Living with others,2019,1845
88,Aurskog-Høland,67-79 years,Living alone,2019,593
89,Aurskog-Høland,67-79 years,Living with others,2019,1520
90,Aurskog-Høland,80 years or older,Living alone,2019,403
91,Aurskog-Høland,80 years or older,Living with others,2019,338
92,Rælingen,67-79 years,Living alone,2019,460
93,Rælingen,67-79 years,Living with others,2019,1191
94,Rælingen,80 years or older,Living alone,2019,244
95,Rælingen,80 years or older,Living with others,2019,241
96,Enebakk,67-79 years,Living alone,2019,272
97,Enebakk,67-79 years,Living with others,2019,893
98,Enebakk,80 years or older,Living alone,2019,138
99,Enebakk,80 years or older,Living with others,2019,130
100,Lørenskog,67-79 years,Living alone,2019,1091
101,Lørenskog,67-79 years,Living with others,2019,2989
102,Lørenskog,80 years or older,Living alone,2019,588
103,Lørenskog,80 years or older,Living with others,2019,619
104,Lillestrøm,67-79 years,Living alone,2019,2219
105,Lillestrøm,67-79 years,Living with others,2019,6001
106,Lillestrøm,80 years or older,Living alone,2019,1474
107,Lillestrøm,80 years or older,Living with others,2019,1491
108,Nittedal,67-79 years,Living alone,2019,575
109,Nittedal,67-79 years,Living with others,2019,1728
110,Nittedal,80 years or older,Living alone,2019,342
111,Nittedal,80 years or older,Living with others,2019,343
112,Gjerdrum,67-79 years,Living alone,2019,164
113,Gjerdrum,67-79 years,Living with others,2019,510
114,Gjerdrum,80 years or older,Living alone,2019,108
115,Gjerdrum,80 years or older,Living with others,2019,123
116,Ullensaker,67-79 years,Living alone,2019,949
117,Ullensaker,67-79 years,Living with others,2019,2385
118,Ullensaker,80 years or older,Living alone,2019,513
119,Ullensaker,80 years or older,Living with others,2019,545
120,Nes,67-79 years,Living alone,2019,572
121,Nes,67-79 years,Living with others,2019,1763
122,Nes,80 years or older,Living alone,2019,379
123,Nes,80 years or older,Living with others,2019,379
124,Eidsvoll,67-79 years,Living alone,2019,724
125,Eidsvoll,67-79 years,Living with others,2019,1920
126,Eidsvoll,80 years or older,Living alone,2019,392
127,Eidsvoll,80 years or older,Living with others,2019,350
128,Nannestad,67-79 years,Living alone,2019,314
129,Nannestad,67-79 years,Living with others,2019,886
130,Nannestad,80 years or older,Living alone,2019,168
131,Nannestad,80 years or older,Living with others,2019,165
132,Hurdal,67-79 years,Living alone,2019,110
133,Hurdal,67-79 years,Living with others,2019,264
134,Hurdal,80 years or older,Living alone,2019,75
135,Hurdal,80 years or older,Living with others,2019,87
136,Hole,67-79 years,Living alone,2019,180
137,Hole,67-79 years,Living with others,2019,559
138,Hole,80 years or older,Living alone,2019,150
139,Hole,80 years or older,Living with others,2019,121
140,Flå,67-79 years,Living alone,2019,49
141,Flå,67-79 years,Living with others,2019,101
142,Flå,80 years or older,Living alone,2019,41
143,Flå,80 years or older,Living with others,2019,38
144,Nesbyen,67-79 years,Living alone,2019,128
145,Nesbyen,67-79 years,Living with others,2019,378
146,Nesbyen,80 years or older,Living alone,2019,108
147,Nesbyen,80 years or older,Living with others,2019,100
148,Gol,67-79 years,Living alone,2019,192
149,Gol,67-79 years,Living with others,2019,423
150,Gol,80 years or older,Living alone,2019,150
151,Gol,80 years or older,Living with others,2019,123
152,Hemsedal,67-79 years,Living alone,2019,61
153,Hemsedal,67-79 years,Living with others,2019,168
154,Hemsedal,80 years or older,Living alone,2019,58
155,Hemsedal,80 years or older,Living with others,2019,54
156,Ål,67-79 years,Living alone,2019,179
157,Ål,67-79 years,Living with others,2019,426
158,Ål,80 years or older,Living alone,2019,160
159,Ål,80 years or older,Living with others,2019,122
160,Hol,67-79 years,Living alone,2019,190
161,Hol,67-79 years,Living with others,2019,438
162,Hol,80 years or older,Living alone,2019,125
163,Hol,80 years or older,Living with others,2019,110
164,Sigdal,67-79 years,Living alone,2019,170
165,Sigdal,67-79 years,Living with others,2019,333
166,Sigdal,80 years or older,Living alone,2019,137
167,Sigdal,80 years or older,Living with others,2019,73
168,Krødsherad,67-79 years,Living alone,2019,94
169,Krødsherad,67-79 years,Living with others,2019,199
170,Krødsherad,80 years or older,Living alone,2019,54
171,Krødsherad,80 years or older,Living with others,2019,47
172,Modum,67-79 years,Living alone,2019,503
173,Modum,67-79 years,Living with others,2019,1286
174,Modum,80 years or older,Living alone,2019,347
175,Modum,80 years or older,Living with others,2019,297
176,Øvre Eiker,67-79 years,Living alone,2019,563
177,Øvre Eiker,67-79 years,Living with others,2019,1548
178,Øvre Eiker,80 years or older,Living alone,2019,397
179,Øvre Eiker,80 years or older,Living with others,2019,395
180,Lier,67-79 years,Living alone,2019,695
181,Lier,67-79 years,Living with others,2019,2127
182,Lier,80 years or older,Living alone,2019,428
183,Lier,80 years or older,Living with others,2019,434
184,Flesberg,67-79 years,Living alone,2019,96
185,Flesberg,67-79 years,Living with others,2019,269
186,Flesberg,80 years or older,Living alone,2019,60
187,Flesberg,80 years or older,Living with others,2019,72
