,NSRId,OrgNr,Navn,Karakteristikk,FulltNavn,KommuneNavn,Epost,ErAktiv,ErSkole,ErSkoleEier,ErGrunnSkole,ErPrivatSkole,ErOffentligSkole,ErVideregaaendeSkole,VisesPaaWeb,KommuneNr,FylkeNr,EndretDato
0,1011022,U90099016,The Norwegian School,,The Norwegian School ,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:18:18.227
1,1011021,U90099011,Mission Protestante Norvegienne,Bafoulable,Mission Protestante Norvegienne Bafoulable,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:19:58.09
2,1011020,U90099010,Ecole Norvégienne  Mission Norvégienne,,Ecole Norvégienne  Mission Norvégienne ,"Utlandet, uspesifisert",,False,True,False,False,True,False,False,True,2599,25,2013-09-19T11:22:15.613
3,1001254,992461705,Rauma kommune Barne- og Familieenheten,,Rauma kommune Barne- og Familieenheten ,Rauma,,False,False,False,False,False,False,False,True,1539,15,2019-08-14T04:34:51.827
4,1001253,992429925,"Lærlingkontoret for Fylke, Stat og Helseføretak i Møre Og Romsdal",,"Lærlingkontoret for Fylke, Stat og Helseføretak i Møre Og Romsdal ",Molde,sigrun.talsethagen@mrfylke.no,False,False,False,False,False,False,False,True,1502,15,2019-08-14T04:34:52.327
5,1001239,988999121,Ringerike kommune Tyristrand Oppvekstområde,,Ringerike kommune Tyristrand Oppvekstområde ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:35:01.267
6,1001238,988999040,Ringerike kommune Sokna Oppv.Område,,Ringerike kommune Sokna Oppv.Område ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:35:01.327
7,1001237,988999008,Ringerike kommune Nes i Årdal Oppvekstområde,,Ringerike kommune Nes i Årdal Oppvekstområde ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:35:01.343
8,1001235,988998796,Ringerike kommune Haugsbygd Oppvekstområde,,Ringerike kommune Haugsbygd Oppvekstområde ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:35:01.433
9,1001234,988998559,Ringerike kommune Norderhov Oppvekstområde,,Ringerike kommune Norderhov Oppvekstområde ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:35:01.503
10,1001229,988362050,Øvre Eiker kommune Helse- og Sosialseksjonen,,Øvre Eiker kommune Helse- og Sosialseksjonen ,Øvre Eiker,,False,False,False,False,False,False,False,True,0624,06,2019-08-14T04:35:06.163
11,1001203,987969571,Kragerø kommune Enhet for Voksen Opplæring og Flyktningetjenester,,Kragerø kommune Enhet for Voksen Opplæring og Flyktningetjenester ,Kragerø,,False,False,False,False,False,False,False,True,0815,08,2019-08-14T04:35:07.453
12,1001202,987967013,Kragerø kommune Enhet for Barne og Ungdomstjenesten,,Kragerø kommune Enhet for Barne og Ungdomstjenesten ,Kragerø,post@kragero.kommune.no,False,False,False,False,False,False,False,True,0815,08,2019-08-14T04:35:07.643
13,1001200,987963654,Kragerø kommune Enhet for Kultur,,Kragerø kommune Enhet for Kultur ,Kragerø,post@kragro.kommune.no,False,False,False,False,False,False,False,True,0815,08,2019-08-14T04:35:07.923
