,type of school,sex,age,contents,year,value
0,"Public maintained schools, total",Both sexes,All ages,"Pupils, apprentices, students and participants",2019,260341
1,"Public maintained schools, total",Both sexes,0-15 years,"Pupils, apprentices, students and participants",2019,186
2,"Public maintained schools, total",Both sexes,16-18 years,"Pupils, apprentices, students and participants",2019,176923
3,"Public maintained schools, total",Both sexes,19-24 years,"Pupils, apprentices, students and participants",2019,58448
4,"Public maintained schools, total",Both sexes,25-29 years,"Pupils, apprentices, students and participants",2019,9570
5,"Public maintained schools, total",Both sexes,30-34 years,"Pupils, apprentices, students and participants",2019,5976
6,"Public maintained schools, total",Both sexes,35 years or older,"Pupils, apprentices, students and participants",2019,9238
7,"Public maintained schools, total",Males,All ages,"Pupils, apprentices, students and participants",2019,139117
8,"Public maintained schools, total",Males,0-15 years,"Pupils, apprentices, students and participants",2019,81
9,"Public maintained schools, total",Males,16-18 years,"Pupils, apprentices, students and participants",2019,90281
10,"Public maintained schools, total",Males,19-24 years,"Pupils, apprentices, students and participants",2019,36409
11,"Public maintained schools, total",Males,25-29 years,"Pupils, apprentices, students and participants",2019,5560
12,"Public maintained schools, total",Males,30-34 years,"Pupils, apprentices, students and participants",2019,2909
13,"Public maintained schools, total",Males,35 years or older,"Pupils, apprentices, students and participants",2019,3877
14,"Public maintained schools, total",Females,All ages,"Pupils, apprentices, students and participants",2019,121224
15,"Public maintained schools, total",Females,0-15 years,"Pupils, apprentices, students and participants",2019,105
16,"Public maintained schools, total",Females,16-18 years,"Pupils, apprentices, students and participants",2019,86642
17,"Public maintained schools, total",Females,19-24 years,"Pupils, apprentices, students and participants",2019,22039
18,"Public maintained schools, total",Females,25-29 years,"Pupils, apprentices, students and participants",2019,4010
19,"Public maintained schools, total",Females,30-34 years,"Pupils, apprentices, students and participants",2019,3067
20,"Public maintained schools, total",Females,35 years or older,"Pupils, apprentices, students and participants",2019,5361
21,Upper secondary education,Both sexes,All ages,"Pupils, apprentices, students and participants",2019,196629
22,Upper secondary education,Both sexes,0-15 years,"Pupils, apprentices, students and participants",2019,147
23,Upper secondary education,Both sexes,16-18 years,"Pupils, apprentices, students and participants",2019,164688
24,Upper secondary education,Both sexes,19-24 years,"Pupils, apprentices, students and participants",2019,19854
25,Upper secondary education,Both sexes,25-29 years,"Pupils, apprentices, students and participants",2019,4386
26,Upper secondary education,Both sexes,30-34 years,"Pupils, apprentices, students and participants",2019,3187
27,Upper secondary education,Both sexes,35 years or older,"Pupils, apprentices, students and participants",2019,4367
28,Upper secondary education,Males,All ages,"Pupils, apprentices, students and participants",2019,97208
29,Upper secondary education,Males,0-15 years,"Pupils, apprentices, students and participants",2019,64
30,Upper secondary education,Males,16-18 years,"Pupils, apprentices, students and participants",2019,81461
31,Upper secondary education,Males,19-24 years,"Pupils, apprentices, students and participants",2019,10582
32,Upper secondary education,Males,25-29 years,"Pupils, apprentices, students and participants",2019,2201
33,Upper secondary education,Males,30-34 years,"Pupils, apprentices, students and participants",2019,1373
34,Upper secondary education,Males,35 years or older,"Pupils, apprentices, students and participants",2019,1527
35,Upper secondary education,Females,All ages,"Pupils, apprentices, students and participants",2019,99421
36,Upper secondary education,Females,0-15 years,"Pupils, apprentices, students and participants",2019,83
37,Upper secondary education,Females,16-18 years,"Pupils, apprentices, students and participants",2019,83227
38,Upper secondary education,Females,19-24 years,"Pupils, apprentices, students and participants",2019,9272
39,Upper secondary education,Females,25-29 years,"Pupils, apprentices, students and participants",2019,2185
40,Upper secondary education,Females,30-34 years,"Pupils, apprentices, students and participants",2019,1814
41,Upper secondary education,Females,35 years or older,"Pupils, apprentices, students and participants",2019,2840
42,"Apprenticeship training, apprentices",Both sexes,All ages,"Pupils, apprentices, students and participants",2019,46597
43,"Apprenticeship training, apprentices",Both sexes,0-15 years,"Pupils, apprentices, students and participants",2019,0
44,"Apprenticeship training, apprentices",Both sexes,16-18 years,"Pupils, apprentices, students and participants",2019,11111
45,"Apprenticeship training, apprentices",Both sexes,19-24 years,"Pupils, apprentices, students and participants",2019,28059
46,"Apprenticeship training, apprentices",Both sexes,25-29 years,"Pupils, apprentices, students and participants",2019,3978
47,"Apprenticeship training, apprentices",Both sexes,30-34 years,"Pupils, apprentices, students and participants",2019,1711
48,"Apprenticeship training, apprentices",Both sexes,35 years or older,"Pupils, apprentices, students and participants",2019,1738
49,"Apprenticeship training, apprentices",Males,All ages,"Pupils, apprentices, students and participants",2019,33463
50,"Apprenticeship training, apprentices",Males,0-15 years,"Pupils, apprentices, students and participants",2019,0
51,"Apprenticeship training, apprentices",Males,16-18 years,"Pupils, apprentices, students and participants",2019,8114
52,"Apprenticeship training, apprentices",Males,19-24 years,"Pupils, apprentices, students and participants",2019,20610
53,"Apprenticeship training, apprentices",Males,25-29 years,"Pupils, apprentices, students and participants",2019,2698
54,"Apprenticeship training, apprentices",Males,30-34 years,"Pupils, apprentices, students and participants",2019,1074
55,"Apprenticeship training, apprentices",Males,35 years or older,"Pupils, apprentices, students and participants",2019,967
56,"Apprenticeship training, apprentices",Females,All ages,"Pupils, apprentices, students and participants",2019,13134
57,"Apprenticeship training, apprentices",Females,0-15 years,"Pupils, apprentices, students and participants",2019,0
58,"Apprenticeship training, apprentices",Females,16-18 years,"Pupils, apprentices, students and participants",2019,2997
59,"Apprenticeship training, apprentices",Females,19-24 years,"Pupils, apprentices, students and participants",2019,7449
60,"Apprenticeship training, apprentices",Females,25-29 years,"Pupils, apprentices, students and participants",2019,1280
61,"Apprenticeship training, apprentices",Females,30-34 years,"Pupils, apprentices, students and participants",2019,637
