Halden,30587,14683,35,9,4,3,885,7
Moss,31242,15154,38,18,9,3,903,6
Sarpsborg,53820,24686,48,16,8,4,1734,11
Fredrikstad,78956,36389,80,25,13,7,2118,9
Hvaler,4350,2120,4,2,1,0,145,0
Aremark,1265,604,1,1,1,0,33,0
Marker,3522,1660,4,1,1,0,116,2
Skiptvet,3559,1574,4,1,1,0,101,0
Rakkestad,7757,3566,9,3,1,0,222,3
Råde,7216,3144,7,2,1,1,215,0
Vestby,17428,7307,21,5,3,0,488,4
Ski,99861,46022,55,17,12,5,2793,0
Ås,46253,21254,37,18,9,4,1701,0
Frogn,14895,6922,16,6,4,1,441,0
Nesodden,18502,7965,26,8,5,2,381,0
Bærum,122554,52795,166,29,17,13,4717,7
Asker,58302,24742,108,31,17,6,1564,8
Aurskog-Høland,15981,7262,18,7,3,2,446,0
Rælingen,17677,7551,17,7,2,1,222,2
Enebakk,10412,4403,12,2,2,0,260,0
Lørenskog,38150,16968,46,11,8,3,1456,0
Nittedal,22864,9508,27,7,3,1,461,2
Gjerdrum,6434,2732,8,2,1,0,122,0
Ullensaker,37493,16191,45,11,6,3,1246,2
Eidsvoll,24095,10634,19,9,4,2,513,2
Nannestad,13185,5582,11,4,2,1,258,1
Hurdal,2811,1308,3,1,1,0,63,0
Oslo,698637,341468,718,115,66,56,25539,1082
Kongsvinger,17183,8666,11,8,4,3,537,2
Hamar,32378,16020,32,15,9,5,1237,0
Ringsaker,33333,15297,37,15,5,2,946,6
Løten,7243,3399,8,5,2,0,148,0
Stange,20180,9337,21,10,4,4,411,4
Nord-odal,4820,2338,3,2,1,0,88,2
Sør-odal,7678,3626,8,1,1,1,193,2
Eidskog,5846,2971,5,3,1,0,139,3
Grue,4494,2374,4,1,1,0,190,0
Åsnes,6914,3515,8,4,1,3,264,0
Elverum,21022,9969,16,8,2,1,664,3
Trysil,6229,3085,11,5,1,1,263,0
Åmot,4429,2259,7,3,1,0,196,2
Stor-Elvdal,2399,1301,3,2,1,2,124,0
Rendalen,1661,896,1,2,1,0,85,0
Engerdal,1155,581,3,1,1,0,58,0
Tolga,1304,628,3,2,1,0,65,0
Tynset,5054,2402,9,4,2,1,237,0
Alvdal,2194,1026,3,1,1,1,111,0
Folldal,1426,731,1,1,1,0,95,0
Lillehammer,28686,14153,28,9,6,4,930,6
Gjøvik,30972,14857,26,13,7,1,1098,7
Dovre,2399,1207,2,2,1,2,129,0
Lesja,1691,859,2,2,2,0,73,0
Skjåk,2053,990,4,1,1,0,119,0
Lom,2134,1024,2,1,1,1,137,0
Vågå,3348,1593,4,2,1,0,118,1
Nord-Fron,5216,2666,7,4,1,1,276,0
Sel,28100,13508,34,19,11,6,930,0
Sør-Fron,2948,1388,3,2,1,0,140,0
Ringebu,4242,1986,14,3,1,0,179,3
Øyer,4896,2282,5,2,1,0,158,0
Gausdal,5665,2715,7,3,1,1,159,0
Østre Toten,14488,6787,12,8,2,2,287,0
Vestre Toten,13193,6228,12,5,1,1,336,5
Jevnaker,6470,3030,7,2,1,0,139,0
Lunner,8621,3896,13,3,2,0,174,0
Gran,15200,7132,17,9,4,1,464,0
Søndre Land,5475,2645,8,3,1,0,193,2
Nordre Land,6163,3042,6,2,2,1,195,2
Sør-Aurdal,2727,1368,3,3,2,0,76,0
Etnedal,1179,621,1,1,1,0,49,0
Nord-Aurdal,6189,3026,6,2,1,1,384,0
Vestre Slidre,2026,988,2,1,1,0,108,0
Øystre Slidre,2955,1422,4,2,1,1,131,0
Vang,156101,71860,178,62,39,16,5971,0
Drammen,66656,31552,86,25,13,6,2390,6
Kongsberg,26991,12728,28,10,6,2,957,4
Ringerike,29514,14425,29,12,10,3,956,5
Hole,6442,2820,9,4,2,1,152,0
Flå,1030,499,1,1,1,0,57,0
Gol,4401,2195,5,1,1,2,284,0
Hemsedal,2216,1095,2,1,1,0,115,0
Ål,70356,32823,94,50,29,15,2532,0
Hol,26537,12276,40,18,7,4,814,0
Sigdal,3477,1635,4,3,1,0,129,2
Krødsherad,2075,981,4,2,1,0,63,0
Modum,13502,6346,15,6,3,2,371,5
Øvre Eiker,18423,8183,17,6,3,1,485,3
