Put 30587 people in Halden in 14683 households, 35 kindergartens, 9 primary schools, 4 lower secondary schools, 3 upper secondary schools, 885 workplaces, and 7 nursing homes.
Put 31242 people in Moss in 15154 households, 38 kindergartens, 18 primary schools, 9 lower secondary schools, 3 upper secondary schools, 903 workplaces, and 6 nursing homes.
Put 53820 people in Sarpsborg in 24686 households, 48 kindergartens, 16 primary schools, 8 lower secondary schools, 4 upper secondary schools, 1734 workplaces, and 11 nursing homes.
Put 78956 people in Fredrikstad in 36389 households, 80 kindergartens, 25 primary schools, 13 lower secondary schools, 7 upper secondary schools, 2118 workplaces, and 9 nursing homes.
Put 4350 people in Hvaler in 2120 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 145 workplaces, and 0 nursing homes.
Put 1265 people in Aremark in 604 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 33 workplaces, and 0 nursing homes.
Put 3522 people in Marker in 1660 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 116 workplaces, and 2 nursing homes.
Put 3559 people in Skiptvet in 1574 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 101 workplaces, and 0 nursing homes.
Put 7757 people in Rakkestad in 3566 households, 9 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 222 workplaces, and 3 nursing homes.
Put 7216 people in Råde in 3144 households, 7 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 215 workplaces, and 0 nursing homes.
Put 17428 people in Vestby in 7307 households, 21 kindergartens, 5 primary schools, 3 lower secondary schools, 0 upper secondary schools, 488 workplaces, and 4 nursing homes.
Put 99861 people in Ski in 46022 households, 55 kindergartens, 17 primary schools, 12 lower secondary schools, 5 upper secondary schools, 2793 workplaces, and 0 nursing homes.
Put 46253 people in Ås in 21254 households, 37 kindergartens, 18 primary schools, 9 lower secondary schools, 4 upper secondary schools, 1701 workplaces, and 0 nursing homes.
Put 14895 people in Frogn in 6922 households, 16 kindergartens, 6 primary schools, 4 lower secondary schools, 1 upper secondary schools, 441 workplaces, and 0 nursing homes.
Put 18502 people in Nesodden in 7965 households, 26 kindergartens, 8 primary schools, 5 lower secondary schools, 2 upper secondary schools, 381 workplaces, and 0 nursing homes.
Put 122554 people in Bærum in 52795 households, 166 kindergartens, 29 primary schools, 17 lower secondary schools, 13 upper secondary schools, 4717 workplaces, and 7 nursing homes.
Put 58302 people in Asker in 24742 households, 108 kindergartens, 31 primary schools, 17 lower secondary schools, 6 upper secondary schools, 1564 workplaces, and 8 nursing homes.
Put 15981 people in Aurskog-Høland in 7262 households, 18 kindergartens, 7 primary schools, 3 lower secondary schools, 2 upper secondary schools, 446 workplaces, and 0 nursing homes.
Put 17677 people in Rælingen in 7551 households, 17 kindergartens, 7 primary schools, 2 lower secondary schools, 1 upper secondary schools, 222 workplaces, and 2 nursing homes.
Put 10412 people in Enebakk in 4403 households, 12 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 260 workplaces, and 0 nursing homes.
Put 38150 people in Lørenskog in 16968 households, 46 kindergartens, 11 primary schools, 8 lower secondary schools, 3 upper secondary schools, 1456 workplaces, and 0 nursing homes.
Put 22864 people in Nittedal in 9508 households, 27 kindergartens, 7 primary schools, 3 lower secondary schools, 1 upper secondary schools, 461 workplaces, and 2 nursing homes.
Put 6434 people in Gjerdrum in 2732 households, 8 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 122 workplaces, and 0 nursing homes.
Put 37493 people in Ullensaker in 16191 households, 45 kindergartens, 11 primary schools, 6 lower secondary schools, 3 upper secondary schools, 1246 workplaces, and 2 nursing homes.
Put 24095 people in Eidsvoll in 10634 households, 19 kindergartens, 9 primary schools, 4 lower secondary schools, 2 upper secondary schools, 513 workplaces, and 2 nursing homes.
Put 13185 people in Nannestad in 5582 households, 11 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 258 workplaces, and 1 nursing homes.
Put 2811 people in Hurdal in 1308 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 63 workplaces, and 0 nursing homes.
